index,game_id,season,gameType,awayTeam.id,awayTeam.abbrev,awayTeam.logo,homeTeam.id,homeTeam.abbrev,homeTeam.logo,homeTeam.placeName.default,awayTeam.placeName.default,awayTeam.score,homeTeam.score,winningGoalScorer.playerId,winningGoalie.playerId,gameState,link,game_date_time,start_time,game_date
149,2024021045,20242025,2,54,VGK,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,29,CBJ,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,Columbus,Vegas,4,0,8478462,8478499,OFF,https://api-web.nhle.com/v1/gamecenter/2024021045/play-by-play,2025-03-13 19:00:00-04:00,7:00 PM,2025-03-13
223,2024021046,20242025,2,3,NYR,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,30,MIN,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,Minnesota,New York,3,2,8482073,8478048,OFF,https://api-web.nhle.com/v1/gamecenter/2024021046/play-by-play,2025-03-13 20:00:00-04:00,8:00 PM,2025-03-13
260,2024021047,20242025,2,15,WSH,https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg,26,LAK,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,Los Angeles,Washington,0,3,8477998,8475311,OFF,https://api-web.nhle.com/v1/gamecenter/2024021047/play-by-play,2025-03-13 22:30:00-04:00,10:30 PM,2025-03-13
297,2024021048,20242025,2,16,CHI,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,28,SJS,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,San Jose,Chicago,2,4,8484911,8480382,OFF,https://api-web.nhle.com/v1/gamecenter/2024021048/play-by-play,2025-03-13 22:30:00-04:00,10:30 PM,2025-03-13
2,2024021049,20242025,2,17,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,12,CAR,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,Carolina,Detroit,2,4,8478970,8475883,OFF,https://api-web.nhle.com/v1/gamecenter/2024021049/play-by-play,2025-03-14 19:00:00-04:00,7:00 PM,2025-03-14
39,2024021050,20242025,2,22,EDM,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg,2,NYI,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,New York,Edmonton,2,1,8477934,8475717,OFF,https://api-web.nhle.com/v1/gamecenter/2024021050/play-by-play,2025-03-14 19:30:00-04:00,7:30 PM,2025-03-14
76,2024021051,20242025,2,25,DAL,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,52,WPG,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,Winnipeg,Dallas,1,4,8478398,8476945,OFF,https://api-web.nhle.com/v1/gamecenter/2024021051/play-by-play,2025-03-14 20:00:00-04:00,8:00 PM,2025-03-14
113,2024021052,20242025,2,21,COL,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,20,CGY,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,Calgary,Colorado,4,2,8480448,8475809,OFF,https://api-web.nhle.com/v1/gamecenter/2024021052/play-by-play,2025-03-14 21:00:00-04:00,9:00 PM,2025-03-14
150,2024021053,20242025,2,18,NSH,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,24,ANA,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg,Anaheim,Nashville,1,2,8473986,8480843,OFF,https://api-web.nhle.com/v1/gamecenter/2024021053/play-by-play,2025-03-14 22:00:00-04:00,10:00 PM,2025-03-14
187,2024021054,20242025,2,59,UTA,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg,55,SEA,https://assets.nhle.com/logos/nhl/svg/SEA_light.svg,Seattle,Utah,2,4,8481554,8475831,OFF,https://api-web.nhle.com/v1/gamecenter/2024021054/play-by-play,2025-03-14 22:00:00-04:00,10:00 PM,2025-03-14
3,2024021055,20242025,2,54,VGK,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,7,BUF,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,Buffalo,Vegas,3,4,,8480045,OFF,https://api-web.nhle.com/v1/gamecenter/2024021055/play-by-play,2025-03-15 12:30:00-04:00,12:30 PM,2025-03-15
40,2024021056,20242025,2,1,NJD,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,5,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,Pittsburgh,New Jersey,3,7,8481577,8477465,OFF,https://api-web.nhle.com/v1/gamecenter/2024021056/play-by-play,2025-03-15 15:00:00-04:00,3:00 PM,2025-03-15
77,2024021057,20242025,2,15,WSH,https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg,28,SJS,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,San Jose,Washington,5,1,8481656,8480313,OFF,https://api-web.nhle.com/v1/gamecenter/2024021057/play-by-play,2025-03-15 17:00:00-04:00,5:00 PM,2025-03-15
